text	code	weight	stem	decomposition
日	a	1	a	日
曰	a		a	曰
昌	aa	2	aa	⿱日日
昍	aa		aa	⿰日日
𭥗	aa		aa	⿱日日
𭥗	aa		aa	⿱曰日
晶	aaa	2	aaa	⿱日昍
晿	aaa	1	aaa	⿰日昌
𪱈	aaaa	1	aaaa	⿱晶日
𣊫	aaaa		aaaa	⿰昌昌
𣊫	aaaa		aaaa	⿱昍昍
𣊭	aaaa		aaaa	⿱昍昍
𱗷	aaag		aaag	
曑	aaah		aaah	⿱晶㐱
𣊖	aaak		aaak	⿱晶大
𬁬	aaal		aaal	⿱晶卯
曡	aaam	2	aaam	⿱晶冝
曐	aaam	1	aaam	⿱晶生
㬪	aaam		aaam	⿱晶宐
曟	aaav		aaav	⿱晶辰
𣇵	aab		aab	⿱日明
𩩪	aabbb		aabbb	⿰昌骨
𰖦	aabrs		aabrs	
㬈	aabt		aabt	⿰日昷
𰤼	aabt		aabt	
𱢕	aabu		aabu	
覸	aabuu		aabuu	⿰間見
𣈁	aad		aad	⿰日杲
𰤮	aadhe		aadhe	
𠭒	aae		aae	⿱昌又
焸	aaf	2	aaf	⿱昍火
𪹕	aaf		aaf	⿱㫬灬
𪹶	aaf		aaf	⿱暏火
𬊘	aaf		aaf	⿱昍灬
𤏒	aaff		aaff	⿰昌炎
𭧌	aafu		aafu	⿰日晃
𭨖	aafz		aafz	⿰日顥
𰖹	aagtl		aagtl	
𤬆	aahio		aahio	⿰昌瓜
暒	aahm		aahm	⿰日星
㫀	aahml		aahml	⿰昌斤
𭦠	aaht		aaht	⿰日昇
𣈲	aahu		aahu	⿰日眉
𩴦	aahwi		aahwi	⿰間鬼
𲍽	aahym		aahym	
𪂇	aahz		aa/hz	⿰昌鳥
𣌸	aail		aail	⿱曰即
𭥳	aaj		aaj	⿰日早
𰖊	aajk		aajk	
𣉬	aajnd		aajnd	⿱昍字
暥	aajv		aajv	⿰日晏
㫜	aam		aam	⿰日旦
𤦉	aamg		aamg	⿱昍王
暘	aamh		aamh	⿰日昜
𣈜	aami		aami	⿰日㝵
晘	aamj		aamj	⿰日旱
𫦡	aamln		aam/ln	⿰⿱晶俎刂
𣉆	aamo		aamo	⿰日是
㫯	aamu		aamu	⿱昌兀
𣊐	aamv		aamv	⿰日晨
𣊺	aana		aana	⿰日間
𰷙	aanbc		aanbc	
𭧴	aand		aand	⿰日閑
𣋆	aang		aang	⿰日閏
𣊱	aanh		aanh	⿰日𨳚
𱢤	aanh		aanh	
𣌙	aank		aank	⿰日闞
𣣘	aano		aa/no	⿰昌欠
𱢚	aano		aano	
𰖻	aanw		aanw	
𢛝	aap		aap	⿱昌心
晹	aaph	1	aaph	⿰日易
𣈀	aapp		aapp	⿰日昆
暍	aapv		aapv	⿰日曷
龧	aaqa		aaqa	⿰日暑
𣋁	aase		aase	⿰日最
曝	aate		aate	⿰日暴
𭨋	aatj		aatj	⿰日曅
𭨃	aatp		aatp	⿰日𭧂
𣌈	aatr		aatr	⿰日謈
𪱆	aatv		aatv	⿰日⿳日𠀎𧘇
𣌑	aaud		aaud	⿰日㬥
𭦂	aav		aav	⿰日艮
㬤	aavf		aavf	⿰日㬎
𭧸	aavo		aavo	⿰日歇
𦦄	aax		aax	⿱昍臼
暻	aayf		aayf	⿰日景
𮲗	aayk		aayk	
𣈫	aayt		aayt	⿰日昱
𣌝	aayv		aayv	⿰日曩
明	ab	2	ab	⿰日月
冐	ab	1	ab	⿱冃月
冐	ab	1	ab	⿱日月
𣋋	abaa		abaa	⿰日黽
𣊧	abab		abab	⿱明明
暝	abac		abac	⿰日冥
曖	abbe	1	abbe	⿰日愛
暧	abbe		abbe	⿰日爱
𣆹	abbm		abbm	⿱日冝
𣊬	abbq		abbq	⿰日舜
盟	abbt		abbt	⿱明皿
覵	abbuu	1	abbuu	⿰閒見
𧡜	abbuu		abbuu	⿱明見
𣌬	abcm		abcm	⿳日𦉪一
𣉇	abcn		abcn	⿰日則
𣈄	abd		abd	⿰日采
𠟘	abdln		abd/ln	⿰⿱日罙刂
𣈃	abdu		abdu	⿰日乳
焽	abf	1	abf	⿱明火
𣇧	abf		abf	⿰日炙
𬊚	abf		abf	⿱明灬
𭎮	abg		abg	⿱明土
𣉁	abgb		abgb	⿰日爯
晭	abgr		ab'gr	⿰日周
㿢	abha		abha	⿱明白
𧖽	abhbt		abhbt	⿱明血
㬙	abhf		abhf	⿰日爲
𣈂	abhg		abhg	⿱明壬
𢒠	abhhh		abhhh	⿰⿳日𠂊巾彡
𱊂	abhm		abhm	
𬀪	abhu		abhu	⿰日见
䳟	abhz	1	ab/hz	⿰明鳥
𪂡	abhz		abhz	⿱明鳥
𱈯	abhz		abhz	
𢧠	abi		abi	⿹⿶戈旧月
𢧠	abi		abi	⿰⿱⿺𠃊日月戈
猒	abik		abik	⿰冐犬
𡒦	abikg		abikg	⿰𭥯⿱犬土
曌	abjcm	3	abjcm	⿱明空
暈	abjj	2	abjj	⿱日軍
暉	abjj	1	abjj	⿰日軍
𢢤	abjrp		abjrp	⿱明怘
𣈎	abkd		abkd	⿳日冖杀
㬗	abkf		abkf	⿰日然
晕	abkq	1	abkq	⿱日军
晖	abkq		abkq	⿰日军
𣌰	abks		abks	⿱曰肋
𫦱	abks		ab/ks	⿰冐力
𥀦	abkue		abkue	⿰冐⿱𢒂皮
𬁨	ablo		ablo	⿱日朕
𭦈	abmc		abmc	⿰日⿱且八
暖	abme	1	abme	⿰日爰
㬊	abme		abme	⿱日爰
㬊	abme		abme	⿱日⿳爫土夂
𱵗	abmf		abmf	
𱼫	abmg		abmg	
琞	abmgi		abmgi	⿱明玉
𣅧	abmm	1	abmm	⿰日冄
𣅣	abmm		abmm	⿱日𠀇
𭨄	abmp		abmp	⿰日㥯
晍	abmr		ab'mr	⿰日同
勗	abms	1	abms	⿱日助
